image_path,plant,true_class,true_label,predicted_label,confidence,prob_healthy,prob_anthracnose,predicted_class
dataset\Raw_dataset\Papaya_Anthracnose\Anthracnose(22).jpg,Papaya,Anthracnose,1,0,0.8627623,0.8627623,0.1372377,Healthy
dataset\Raw_dataset\Papaya_Anthracnose\Anthracnose(60).jpg,Papaya,Anthracnose,1,0,0.59810925,0.59810925,0.4018907,Healthy
dataset\Raw_dataset\Guava_Healthy\Healthy (1030).jpg,Guava,Healthy,0,1,0.5854378,0.41456223,0.5854378,Anthracnose
dataset\Raw_dataset\Guava_Healthy\Healthy (102).jpg,Guava,Healthy,0,1,0.73370266,0.26629734,0.73370266,Anthracnose
dataset\Raw_dataset\Guava_Healthy\Healthy (518).jpg,Guava,Healthy,0,1,0.82702214,0.17297785,0.82702214,Anthracnose
dataset\Raw_dataset\Guava_Healthy\Healthy (1136).jpg,Guava,Healthy,0,1,0.725384,0.27461603,0.725384,Anthracnose
dataset\Raw_dataset\Papaya_Anthracnose\Anthracnose(16).jpg,Papaya,Anthracnose,1,0,0.8082037,0.8082037,0.1917963,Healthy
dataset\Raw_dataset\Guava_Healthy\Healthy (1001).jpg,Guava,Healthy,0,1,0.7834166,0.21658337,0.7834166,Anthracnose
dataset\Raw_dataset\Guava_Anthracnose\Anthracnose (42).jpg,Guava,Anthracnose,1,0,0.678951,0.678951,0.321049,Healthy
dataset\Raw_dataset\Guava_Healthy\Healthy (1170).jpg,Guava,Healthy,0,1,0.7827716,0.21722841,0.7827716,Anthracnose
dataset\Raw_dataset\Guava_Healthy\Healthy (1482).jpg,Guava,Healthy,0,1,0.56303763,0.4369623,0.56303763,Anthracnose
