path,species,health,joint_label,group_id,split
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (126).jpg,guava,anthracnose,Guava_Anthracnose,phash_aff7176bd40aea849ad5055a696e3ea92780b257d60ae36ac8fd4daf0b803c90,train
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (25).jpg,guava,anthracnose,Guava_Anthracnose,phash_b4b49873c3c3996d9b0dc1a6cb3c6f96cc306c18cc73e6919cc366598cc66679,test
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (171).jpg,guava,anthracnose,Guava_Anthracnose,phash_eeaa1aa88555f11797ea03ea3a855f80615e3817e52af17ad6b5c7a19ad0ce05,train
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (72).jpg,guava,anthracnose,Guava_Anthracnose,phash_b417d258c3f84d25cf933c9e9e4934e8992433c39936338fcd32631dccf1164d,train
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (167).jpg,guava,anthracnose,Guava_Anthracnose,phash_b0d99998cb2764d9cc1e6666ccf933643ce5333633c61933331ec9993318ccd9,train
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (188).jpg,guava,anthracnose,Guava_Anthracnose,phash_afd7e212d02015ef0bdf7a803d28a17fb0b6c7b4cbe89a02cd0d39ff64b46580,train
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (64).jpg,guava,anthracnose,Guava_Anthracnose,phash_ffef42aa8000af5597ff15c27aa07aaa60152b5587ff3d029e8090ab981fd2d5,train
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (9).jpg,guava,anthracnose,Guava_Anthracnose,phash_bd689694d095db5ac3fa692dcb004db4cb07cd92ce1f3c9bcc3c30c999b86649,val
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (130).jpg,guava,anthracnose,Guava_Anthracnose,phash_e169b2c79696cb5a9e786d2598e3a4b6998f6ed2999c34cb9998324d2939360c,val
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (33).jpg,guava,anthracnose,Guava_Anthracnose,phash_e8f56c70850a61c796b9378e9215b698da5ae618987ba652cf28927bcdb19a63,train
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (219).jpg,guava,anthracnose,Guava_Anthracnose,phash_aff76393d402f52ac2bd36c5cb5e9e538d08d84b1da5c86e3896c9e530dac184,train
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (48).jpg,guava,anthracnose,Guava_Anthracnose,phash_b6901bc8d06f7817c9b670dbcf9263ecce49c7800c6ccf0f6464ce3e3366cc38,train
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (235).jpg,guava,anthracnose,Guava_Anthracnose,phash_b4973c63cb69c1f24d96cf0536593e1e132c31f098b2938731c3ccd9670f6cc3,train
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (223).jpg,guava,anthracnose,Guava_Anthracnose,phash_fa91a539951a5aa187fd0a56cf28b44a4c3f35e568d6778021d2220ff78beb1c,val
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (203).jpg,guava,anthracnose,Guava_Anthracnose,phash_ad48c1ffd2b73f804f4a707f64a5c3e096d69e079969307c61a56605ce9e9870,test
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (29).jpg,guava,anthracnose,Guava_Anthracnose,phash_bd2f24b3c2f4634a8f4bb32d9c3d9a3438f099e364c3998c338fcc99660c6cd8,train
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (91).jpg,guava,anthracnose,Guava_Anthracnose,phash_e856c9da85e84f8796859c3e9a5698f8cb6a18c1cd6b31c34d2571cd6db6610d,train
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (192).jpg,guava,anthracnose,Guava_Anthracnose,phash_b4271e93d2da616dcf2167e0cc36860f8cb2cf3cd8d3993039c3d8f033cd98c3,val
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (5).jpg,guava,anthracnose,Guava_Anthracnose,phash_b5879e52c2de49698b499cb68c3e60f29c3030cb98f136dfc9c3334ce58f334c,train
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (87).jpg,guava,anthracnose,Guava_Anthracnose,phash_aabf7a90d540955480a9d2aa1fff4bd59e003d42615b740b34abe1ff96d471e0,train
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (68).jpg,guava,anthracnose,Guava_Anthracnose,phash_aeff6a90d000b5500bffdaaa3f002b55601535aac7fab2950e81cf4a505fdd3d,test
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (184).jpg,guava,anthracnose,Guava_Anthracnose,phash_fea8c2aa80153d554ffad0aa78016bf591ff350acfc290bf6c2d4bd031d5a503,test
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (215).jpg,guava,anthracnose,Guava_Anthracnose,phash_faa262328555bdd597aad4aade019af5287fc95071e02d2b238376b5e70d22d2,train
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (44).jpg,guava,anthracnose,Guava_Anthracnose,phash_bc6f9294c3e0494ace176da9365a33c33269730f9325399cced26d98ce4965b4,train
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (147).jpg,guava,anthracnose,Guava_Anthracnose,phash_effec01590413ffa5aae78052d55d1fe17288b033a3f4d7871d024a5838bb656,train
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (13).jpg,guava,anthracnose,Guava_Anthracnose,phash_b0f23878cb0de3c7cc348e1e64dbcc38326d6c61332430e3e19333a718dbf39e,train
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (110).jpg,guava,anthracnose,Guava_Anthracnose,phash_e1428e3a96ad38e39ad6630f696aa63969614c66659692ce699894cb937b6b27,train
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (106).jpg,guava,anthracnose,Guava_Anthracnose,phash_b4929c43c369e0f6cc3c66cb8de1332c1d963b333cd9399e2ccc99b0c664c4f3,train
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (52).jpg,guava,anthracnose,Guava_Anthracnose,phash_bf9464d3d04b27e9c3fd3301cf84392fc64e183ec7249c788732cc783933ce64,train
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (151).jpg,guava,anthracnose,Guava_Anthracnose,phash_e9c3691a85386da99eb56cb599c6a4b69b8e96e69314b6c6333a12ce36259358,train
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (53).jpg,guava,anthracnose,Guava_Anthracnose,phash_e87869c287a5858d9e1eb6959a789252996b4a6bd9a7b361999639651996d986,train
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (150).jpg,guava,anthracnose,Guava_Anthracnose,phash_e946942ec5ad4e948785cc5e9616cc7a961e58609a5ac8e39e78b9e79a6948e7,train
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (107).jpg,guava,anthracnose,Guava_Anthracnose,phash_e9769689c7c1785e852fc2e19e1a690eb4e1e71a9ac66d29b0c666319b5e6c61,train
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (12).jpg,guava,anthracnose,Guava_Anthracnose,phash_bd00c6f6d2ff4b49cb603cb5c91378da8d8932c1cb0d73498d3c3334ce72332d,train
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (111).jpg,guava,anthracnose,Guava_Anthracnose,phash_b487ce30d27ac612cba5c769cd968e01cc9fec7fccd81ee0ccc83867ccc43067,val
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (45).jpg,guava,anthracnose,Guava_Anthracnose,phash_b613341ec17d1369cfc0c1b4e327c59bb1b2ce0fc9838e33c68fc199ce3c0d8d,train
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (146).jpg,guava,anthracnose,Guava_Anthracnose,phash_bff9c000c0042fff6d6b3a003696d13f6b48cd903c25364bf9fe3921c5c9b696,train
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (214).jpg,guava,anthracnose,Guava_Anthracnose,phash_afd46dc0d4ab340b8ad5c2f5cf48df523f648d2fc20bdc349f2d38f0883430e3,test
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (86).jpg,guava,anthracnose,Guava_Anthracnose,phash_bffac03fd0052ff84bfe340125a0d2ff92d0cd483d0f64b570fc3342c3c05b2d,train
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (69).jpg,guava,anthracnose,Guava_Anthracnose,phash_beaf6d54c55092aa4affe955b50064aac2ff93d54fc0c90a342f24bd42f4b252,train
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (185).jpg,guava,anthracnose,Guava_Anthracnose,phash_e1b6ce1e9a5b38e1c9a4338e6c92673836699b63934e98b2319cccdb6718c6c9,train
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (4).jpg,guava,anthracnose,Guava_Anthracnose,phash_e568b6f6c6877b4b9e5e672d9c74cf349b62cc3499260cf2993298c2993190c6,train
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (90).jpg,guava,anthracnose,Guava_Anthracnose,phash_ffffc31680002eaa05ff3d457fa0c22aa0158bf595ff3d01da80702f6a17c2f4,train
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (193).jpg,guava,anthracnose,Guava_Anthracnose,phash_bca4c2dbc07d8fa1ccb63c1f30f8306d73c1132f8f07c83cccba8cd91cd970c9,train
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (28).jpg,guava,anthracnose,Guava_Anthracnose,phash_b0bc618dc3c33290cf3d9b391c30cd3531f3c9b3c3c30cc3cf1e34de9c98734c,train
/Users/alimran/Desktop/CSE499A/Combined Dataset/Guava_Anthracnose/Anthracnose (202).jpg,guava,anthracnose,Guava_Anthracnose,phash_bd42cb7ec2bd3d814b5270fe2da9c3c070969e2f33cac8f0670d64c29e3c324b,train
